L (m);x (m);y (m);Nx ;Ny ;U (V);s (S/m);e ;jactive (A/m2);jactive,x (A/m2);jactive,y (A/m2);jreactive (A/m2);jreactive,x (A/m2);jreactive,y (A/m2);japparent (A/m2);japparent,x (A/m2);japparent,y (A/m2);Qactive (W/m3);Qreactive (W/m3);Qapparent (W/m3);E (V/m);Ex (V/m);Ey (V/m);En (V/m);Et (V/m);D (C/m2);Dx (C/m2);Dy (C/m2);Dn (C/m2);Dt (C/m2)
0;-304.033;137.678;0;-1;803.417;0;1;0;0;0;1,95E-02;4,19E-03;1,90E-02;1,95E-02;4,19E-03;1,90E-02;0;0;0;700.519;       15.06;684.139;684.139;       15.06;6,20E-05;1,33E-05;6,06E-06;6,06E-06;1,33E-05
301.589;-273.874;137.678;0;-1;      138.88;0;1;0;0;0;2,90E-02;6,06E-03;2,83E-02;2,90E-02;6,06E-03;2,83E-02;0;0;0;104.154;217.791;101.852;101.852;217.791;9,22E-05;1,93E-05;9,02E-05;9,02E-05;1,93E-05
603.177;-243.715;137.678;0;-1;206.108;0;1;0;0;0;4,26E-02;7,12E-04;4,20E-02;4,26E-02;7,12E-04;4,20E-02;0;0;0;153.265;256.095;      151.11;      151.11;256.095;1,36E-04;2,27E-05;1,34E-04;1,34E-04;2,27E-05
904.766;-213.556;137.678;0;-1;284.356;0;1;0;0;0;5,61E-02;1,02E-02;5,52E-02;5,61E-02;1,02E-02;5,52E-02;0;0;0;201.664;       36.61;198.313;198.313;       36.61;1,79E-04;3,24E-05;1,76E-05;1,76E-05;3,24E-05
120.635;-183.397;137.678;0;-1;366.521;0;1;0;0;0;7,38E-02;8,15E-03;7,34E-02;7,38E-02;8,15E-03;7,34E-02;0;0;0;265.365;292.865;263.744;263.744;292.865;2,35E-04;2,59E-05;2,34E-04;2,34E-04;2,59E-05
150.794;-153.238;137.678;0;-1;446.093;0;1;0;0;0;9,36E-02;1,11E-02;9,29E-02;9,36E-02;1,11E-02;9,29E-02;0;0;0;336.513;398.767;334.142;334.142;398.767;2,98E-04;3,53E-05;2,96E-04;2,96E-04;3,53E-05
180.953;-123.079;137.678;0;-1;490.998;0;1;0;0;0;1,13E-01;1,35E-02;1,12E-01;1,13E-01;1,35E-02;1,12E-01;0;0;0;404.705;486.265;401.773;401.773;486.265;3,58E-04;4,31E-05;3,56E-04;3,56E-04;4,31E-05
211.112;-929.206;137.678;0;-1;647.054;0;1;0;0;0;1,28E-01;1,48E-02;1,27E-01;1,28E-01;1,48E-02;1,27E-01;0;0;0;461.282;532.432;458.199;458.199;532.432;4,08E-04;4,71E-05;4,06E-04;4,06E-04;4,71E-05
241.271;-627.617;137.678;0;-1;665.054;0;1;0;0;0;1,36E-01;1,79E-02;1,34E-01;1,36E-01;1,79E-02;1,34E-01;0;0;0;487.492;64.355;483.226;483.226;64.355;4,32E-04;5,70E-05;4,28E-04;4,28E-04;5,70E-05
27.143;-326.028;137.678;0;-1;666.451;0;1;0;0;0;1,39E-02;2,96E-02;1,36E-01;1,39E-02;2,96E-02;1,36E-01;0;0;0;500.967;106.328;489.553;489.553;106.328;4,44E-04;9,41E-05;4,33E-05;4,33E-05;9,41E-05
